;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz;',./
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
InvalidChar=;iuv
[Rule]
e2=p11+p12+p21+p22
e3=p11+p12+p21+p31
a4=p11+p21+p31+n11
[Data]
/ 、
bhg 帮
bhi 班
bhk 碧
bhm 邦
bhm; 耙
bhr 玢
bhy 斑
bi 并
bih 半
bij 炳
bik 弊
bil 蹩
bim 粑
bip 憋
bipk 煸
bipv 迸
biq 敝
bis 爆
bit 鳖
biy 焙
bj 本
bj, 勃
bj,v 丙
bj; 甏
bje 髟
bjf 鞭
bjg 贲
bjj 博
bjja 鞴
bjm 邴
bjm; 靶
bjmz 孛
bjo 鬓
bjp 逋
bjs 醭
bjt 鹁
bk 百
bk, 夯
bkb 礴
bkg 布
bkgr 泵
bkj 奔
bkjm 嫑
bko 殡
bkp 碥
bkr 砭
bkt 飙
bkth 甭
bkw 碑
bky 磅
bkyi 碚
bl 吧
bl, 跛
bl; 吡
bl;t 哔
bl;t 跸
blc 啵
blf 卟
blg 蹦
blgf 呗
blgx 嘣
blj 霸
bljn 哺
blk 跋
blm 鄙
blr 叭
bls 别
blt 雹
bltv 趵
bly 踣
bm 巴
bm, 陂
bm; 陛
bme 阪
bmt 孢
bn 避
bn, 嬖
bnd 臂
bnf 鐾
bnh 璧
bni 屏
bnk 弼
bnq 擘
bns 剥
bnv 壁
bnx 檗
bny 辟
bnyt 襞
bo 宝
boj 悖
bok 怖
boq 愎
bor 窆
bow 宾
boy 忭
bp 被
bpa 褙
bpf 补
bpfl 褓
bpg 扁
bph 裱
bpi 必
bpp 遍
bppk 褊
bpw 裨
bpy 谤
bq 笔
bq, 笾
bq; 秕
bq;t 筚
bqc 簿
bqcw 箔
bqg 箅
bqh 拜
bqj 笨
bqja 簸
bqm 笆
bqn 秉
bqp 秘
bqr 掰
bqw 稗
bqw, 篦
br 八
brk 颁
brm 爸
brt 豹
brv 坌
bs 暴
bsj 晡
bss 曝
bt 匕
bt; 狴
btg 备
btgf 狈
bti 饼
btir 飚
btj 饽
btjm 鳔
btk 鲅
btn 包
btp 惫
btpk 鳊
bts 刨
btt 饱
bttn 鲍
bttn 飑
bttp 鸨
bu 把
bu, 拨
bue 搬
bue. 扳
bug 摆
bui 拌
buj 捕
bujc 闭
bujn 搏
buk 拔
bul 捌
bum 报
bun 摒
buo 摈
bur 扒
bur, 扮
burq 播
but 抱
buw 捭
bv 坝
bve 坂
bvw 埠
bw 白
bwe 版
bwg 鼻
bwgx 帛
bwj 卑
bwk 魃
bwm 币
bwr 兵
bwt 鹎
bww 魄
bx 标
bxe 板
bxh 棒
bxhk 梆
bxj 柄
bxk 杯
bxk, 豳
bxo 槟
bxt 杓
bxw 柏
bxx 彬
bxy 榜
by 部
by. 变
by/ 辫
by; 庇
by;. 瓿
bye 瓣
bye. 瘢
byf 卞
byfl 褒
byg 冰
bygj 痹
byh 斌
byha 癍
byhd 禀
byi 辨
byj 病
byjm 瘭
bym 疤
byp 辩
byq 亳
byw 瘪
bywn 庳
bz 逼
bze 钣
bzg 钡
bzj 钵
bzjm 镖
bzk 钹
bzkf 钚
bzkg 钸
bzky 锛
bzo 镔
bzp 匾
bzpi 铋
bzw 铂
bzy 镑
bzyt 镳
c 成
c, 娼
c,f 嫦
c,i 婵
c,m 媸
c,o 姹
c. 参
c., 皴
c.; 戳
c.g 翀
c.v 叉
c.y 翠
c/ 纯
c/. 骖
c/a 绰
c/b 巛
c/g 巢
c/gj 骋
c/m 驰
c/mg 绌
c/n 骣
c/s 剿
c/t 绸
c/w 骢
c/y 缠
c; 车
c;. 辍
c;g 虿
c;h 辏
ca 此
caf 齿
cafp 餐
cafy 雌
cag 觇
cai 粲
caih 鹾
cal 龊
cat 龀
cax 柴
cb 草
cb/ 莼
cba 茈
cbf 茶
cbf/ 苍
cbff 苁
cbfj 茌
cbk 藏
cbkg 蒇
cbkx 茬
cbq 苌
cbr 菜
cbs 菖
cbt 葱
cbto 蔡
cby 茨
cby, 蔟
cby. 茺
cbyf 萃
cc 测
cc. 澄
cc.v 汊
cca 浈
ccf 沧
ccg 涔
ccj 潮
ccjn 漕
ccm 池
ccmf 滁
ccn 潺
cco 淙
ccp 沉
ccpt 沈
ccy 淳
ccy. 澈
ccyf 淬
ccyg 澶
cd 尘
cd, 肠
cdf 脞
cdh 腠
cdi 塍
cdt 脆
cdy 膪
ce 船
ce; 彻
cef 舱
cefw 徜
ceg 徂
cej 斥
cejn 艚
cejz 舡
cep 惩
cex 彳
cey 艟
cf 从
cf/ 仓
cff 偿
cff/ 伧
cffw 倘
cfg 常
cfgf 侧
cfgx 催
cfh 传
cfh. 尝
cfhk 俦
cfl 促
cfn 伺
cfp 储
cfpf 雠
cfq 敞
cfq. 伥
cfq; 氅
cfs 创
cfss 倡
cft 仇
cfti 侈
cfto 傺
cfy 侪
cfyh 隹
cfz 丛
cg 财
cg, 畅
cg. 蛏
cg.k 黪
cgf 崔
cgfh 蜍
cgfp 岑
cgfr 瞠
cgh 畴
cghk 帱
cghk 蝽
cgi 蝉
cgih 嵯
cgj 虫
cgjb 串
cgjn 螬
cgm 黜
cgo 崇
cgp 遄
cgq 瞅
cgr 睬
cgs 赐
cgt 蟾
cgti 眵
cgy 幢
cgyr 螭
ch 春
cha 璨
chd 耖
chg 蠢
chgj 蚕
chgx 璀
cho 琮
chp 琛
chw 舂
chw, 璁
chx 亍
ci 差
ci/ 兹
cia 焯
cid 炒
cig 粗
cigh 单
cigx 灿
cii 糍
cil 炽
cin 冁
cip 慈
ciq 糙
cis 曾
cit 炊
citp 鹚
ciy 粹
cj 刺
cj. 翅
cja 耻
cjc 才
cjd 朝
cji 聪
cjiu 酬
cjj 醋
cjjg 矗
cjl 酲
cjn 臣
cjq 敕
cjqa 酢
cjs 曹
cjv 寸
cjy 醇
cjyt 裁
ck 厂
ck. 碜
ck; 砗
ckb 礤
ckg 厕
ckgh 殂
ckgs 盛
ckh 残
ckh, 辰
cki 磁
ckih 磋
ckj 厝
ckl 唇
ckla 蹙
ckm 存
ckmg 础
ckx 碴
ckz 厨
cl 吹
cl. 啜
cla 呲
clas 踔
clb 躇
cld 吵
clg 喘
clga 踹
clh 呈
clhk 踌
cli 蹭
clig 噌
clih 蹉
clj 嘲
cljg 嗔
cljn 嘈
clk 蹰
clm 嗤
clo 蹿
clo, 嚓
clp 逞
clq 吃
clqk 踟
clr 踩
cls 唱
clsj 嘬
clt 叱
clv 哧
clx 喳
cly 啐
clyl 蹴
clyw 躔
cm 出
cm; 陈
cmf 除
cmg 蚩
cmh 丑
cmhz 承
cmq 陲
cmz 丞
cn 层
cni 羼
cnm 弛
cnm; 孱
cnp 迟
cnr 尺
co 穿
co, 怊
co. 惨
co; 惭
cof 怆
cofw 惝
cog 窜
cogf 恻
cogj 忡
coj 忖
cojr 怵
cok 宠
cokh 宸
cop 忱
coq 怅
coqx 忏
cot 察
cotv 惆
cow 窗
cox 憷
coy 悴
coyi 憧
cp 词
cp, 初
cp. 衩
cpe 褫
cpf 谶
cpi 禅
cpj 衬
cpja 谌
cpjk 褚
cpk 诚
cpl 裎
cpn 祠
cpo 诧
cps 昶
cpt 谗
cptw 谄
cq 长
cq. 篡
cq.l 笞
cqa 垂
cqe 篪
cqf 矬
cqg 重
cqgj 种
cqh 筹
cqj 策
cql 程
cqlq 秤
cqp 愁
cqq 掣
cqq; 毳
cqs 乘
cqt 称
cqtv 稠
cqw 氚
cqy 辞
cqy, 簇
cr 彩
crg 岔
crgr 汆
crj 豺
crs 刹
crt 鬯
crx 采
cs 晨
csr 晁
css 昌
cst 匙
ct 处
ct; 舛
cte 匆
ctf 雏
ctg 触
cth 猜
ctn 刍
ctq 饬
cts 猖
ctss 鲳
ctt 册
cttg 馋
cttp 鸱
ctx 馇
ctxs 猹
cty 猝
cu 持
cu. 掺
cu/ 闯
cua 扯
cub 搽
cud 抄
cue 拆
cuea 搋
cuf 撑
cuff 挫
cug 抽
cuga 揣
cugh 抻
cugx 摧
cui 搓
cuig 阐
cuig 掸
cuj 措
cul 操
cuo 擦
cuo, 撺
cuq 插
cuqa 捶
cuqa 攒
cus 撮
cuss 阊
cut 搀
cuy 撤
cuy/ 搐
cv 场
cv, 超
cve 坼
cvf 趁
cvk 城
cvl 埕
cvn 墀
cvw 赤
cw 川
cwk 臭
cwt 囱
cwx 爨
cwy 魑
cx 村
cx. 橙
cx.v 杈
cx.v 柽
cx/ 椽
cxf 枞
cxfy 椎
cxh 椿
cxhk 楱
cxi 槎
cxj 材
cxjk 楮
cxjn 槽
cxk 橱
cxl 樗
cxm 郴
cxmk 楚
cxo 檫
cxq 杵
cxq. 枨
cxqa 棰
cxs 查
cxt 栅
cxw 槌
cxx 楂
cxy 榇
cxyg 榱
cy 次
cy. 充
cy.; 瘳
cy; 瓷
cya 疵
cyf 疮
cyff 痤
cyg 冲
cygh 廛
cygj 畜
cyh 凑
cyhj 瘛
cyi 产
cyih 瘥
cyk 颤
cyl 啻
cyq 痴
cyt 鹑
cyx 床
cyy 瘁
cz 错
cz. 钗
czd 钞
czf 锉
czft 铛
czg 锄
czj 豉
czjm 镡
czk 铖
czo 镲
czo, 镩
czq 锤
czqd 锸
czw 钏
czy 铲
czy. 铳
d 的
d, 刀
d,i 娣
d,p 妒
d,s 妲
d,y 嫡
d. 对
d.f 翟
d.m 邓
d.p 叠
d.po 怠
d.po 怼
d.pv 迨
d.t 凳
d.z 登
d/ 缔
d/. 骀
d/.l 绐
d/q 缍
d/w 缎
d; 到
d;d 东
d;k 顿
d;l 趸
d;t 鸫
da 点
dag 督
db 荡
dbo 菪
dbq 董
dbt 荻
dbtw 萏
dbv 芏
dbw 蔸
dby 蒂
dc 淡
dc. 澄
dc; 沌
dcg 洞
dcj 滇
dcj. 渎
dco 淀
dcq 沲
dct 涤
dctk 澹
dcy 渡
dcyi 滴
dd 胆
dd; 胨
ddg 胴
ddo 腚
ddv 肚
de 得
dej 德
dejg 盾
deo 舵
dep 遁
deq 瓞
dev 待
df 但
df; 代
df;v 倒
dfg 贷
dfgi 黛
dfgj 佃
dfgx 岱
dfgz 侗
dfh 傣
dfj 仃
dfn 当
dft 党
dft; 低
dftk 儋
dfy 袋
dg 赌
dg. 瞪
dg.e 嶝
dg; 盹
dg;d 岽
dg;g 囤
dgg 峒
dggs 髑
dgh 电
dghk 帱
dgi 睇
dgir 赕
dgj 盯
dgj 町
dgj. 黩
dgja 蝶
dgjg 巅
dgjk 睹
dgm 凼
dgn 鼎
dgo 蚪
dgp 迪
dgpt 眈
dgr 典
dgs 沓
dgt 骶
dh 动
dh/ 毒
dha 玷
dhf 玳
dhg 纛
dhj 玎
dho 靛
dhoo 焘
di 道
di; 炖
die 断
dig 单
dij 灯
dik 奠
dil 兑
dim 郸
din 弟
dip 递
dit 羝
diw 煅
dj 丁
dj; 耋
djg 带
djga 聃
djgj 戴
djgj 蠹
djgt 觌
djj 耵
djj 酊
djk 顶
djkg 颠
djko 鞑
djm 都
djp 耽
djs 靼
dk 大
dk, 砀
dk. 歹
dk.e 磴
dk.l 殆
dk; 砘
dkf 碓
dkg 碘
dkgz 硐
dki 殚
dkj 夺
dkja 碟
dkja 耷
dkl 石
dko 碇
dkp 达
dkt 碉
dkt; 砥
dky 碲
dkyl 礅
dl 吨
dl, 叨
dl. 蹬
dl.e 噔
dlb 嗒
dlg 吊
dli 蹲
dlir 啖
dlj 叮
dlja 喋
dlja 蹀
dljk 嘟
dlk 哒
dlko 呔
dlm 咄
dln 叼
dlo 啶
dlq 跌
dlr 蹈
dlrr 嗲
dlt 跺
dlti 哆
dlto 咚
dltx 哚
dlx 呆
dly 嘀
dlyq 踱
dlyw 踮
dm 队
dma 阽
dmg 蛋
dmt 陶
dmv 堕
dmva 陡
dn 刁
dni 弹
dnj 导
dnl 屌
dnp 逮
dnt 殿
do 定
do, 忉
doa 悼
dob 懂
dog 恫
doi 惮
doj 斗
doj. 窦
dok 惰
dokl 宕
dos 怛
doy 惦
dp 读
dp. 裰
dp.l 诒
dpb 褡
dpf 裆
dpfr 谠
dph 祷
dpj 订
dpja 谍
dpt 调
dpt; 诋
dpw 诞
dpy 谛
dq 等
dq. 丢
dq.e 簦
dq/ 笃
dqf 答
dqg 笛
dqi 氮
dqig 箪
dqij 簖
dqj 犊
dqjm 簟
dqn 第
dqp 迭
dqq 敌
dqr 稻
dqs 笪
dqt 氡
dqw 氘
dqwn 篼
dqz 短
dr 爹
dr, 貂
dri 籴
ds 旦
ds; 戥
dt 多
dt; 氐
dtf 雕
dtg 独
dtgj 甸
dtgx 岛
dti 狄
dtj 鲽
dtm 邸
dto 冬
dts 剁
dtt 鲷
dtx 朵
dty 丹
dtz 鸟
du 打
du. 掇
dua 掉
dub 搭
duf 挡
dui 掸
duj 揲
duo 抖
dus 担
dusj 提
dut 抵
dutp 捣
duv 垫
duy 掂
dv 地
dv; 垤
dva 坫
dvf 堆
dvg 垌
dvj 堵
dvja 堞
dvn 埭
dvs 堤
dvt 垛
dvt; 坻
dvy 墩
dw 段
dwj 牒
dwj. 牍
dwt 兜
dwtx 躲
dx 档
dx; 栋
dxj 椟
dxn 棣
dxo 柁
dxt 柢
dxv 杜
dxw 椴
dy 度
dy; 冻
dya 店
dyb 瘩
dyg 端
dygs 盗
dygx 帝
dyi 瘅
dyj 疔
dyjg 癫
dyn 癜
dyp 憝
dyq 敦
dys 疸
dyt 底
dytv 凋
dyz 痘
dz 豆
dz. 铎
dz.e 镫
dz; 钝
dzf 铛
dzg 钿
dzj 钉
dzja 甙
dzl 铞
dzo 锭
dzoj 钭
dzp 逗
dzq 铥
dzqa 铤
dzr 铫
dzs 锝
dzt 钓
dzw 锻
dzy 镀
dzyi 镝
dzyl 镦
e 而
e, 婀
e,q 娥
e;k 轭
eb 萼
ebg 蒽
ebk 苊
ebq 莪
ec 洱
ed 腭
ef 俄
efj 佴
eg 恩
egq 峨
egqa 蛾
eh 二
ehg 贰
ehj 珥
ej 恶
eja 耳
ejl 噩
ejv 垩
ek 厄
ekt 鸸
el 嗯
elk 呃
elkg 颚
elm 鄂
elq 哦
elt 鹗
em 阿
en 屙
eo 额
eol 愕
ep 讹
ep. 诶
epl 谔
eq 鹅
es 遏
et 儿
etd 尔
etj 饵
etk 鲕
etl 鳄
etp 迩
etq 饿
eu 扼
eug 摁
ezj 铒
ezl 锷
ezq 锇
f 分
f, 发
f,n 妇
f,nb 妃
f,v 飞
f,y 妨
f/ 纷
f/a 绯
f/f 驸
f/j 缚
f/k 绂
f/n 绋
f/t 缝
f/y 纺
f; 辅
f;z 辐
fa 非
fa. 翡
fag 蜚
fam 酆
fay 斐
fb 范
fba 菲
fbc 藩
fbd 菔
fbf 苻
fbfk 茯
fbh 芙
fbj 芾
fbq 蘩
fbr 芬
fbri 莩
fbrq 蕃
fbv 葑
fby 芳
fc 法
fcd 淝
fch 沣
fci 瀵
fcn 沸
fcr 泛
fcr, 汾
fcri 浮
fcrr 滏
fcy 涪
fd 服
fda 腓
fdh 肤
fdj 肺
fdjn 脯
fdm 肥
fdq 腹
fdy 肪
fdyc 腑
fe 反
fep 返
fey 舫
fey, 彷
ff 份
ff; 伐
ffh 俸
ffj 付
ffjb 偾
ffjn 傅
ffk 伏
ffn 佛
ffr 俘
ffv 垡
ffy 仿
ffyc 俯
fg 峰
fge 贩
fge. 畈
fgh 赋
fghr 蚨
fgj 赙
fgk 罘
fgp 罚
fgq 蝮
fgr 幡
fgri 蜉
fgs 幞
fgt 帆
fgty 蜂
fgz 幅
fgzl 蝠
fh 夫
fhh 奉
fhhr 麸
fhj 丰
fhr 玢
fhv 珐
fi 粉
fij 粪
fik 烦
fir 燔
fit 烽
fj 覆
fjn 甫
fjq 敷
fjr 酚
fk 否
fkg 奋
fkn 砩
fkt 矾
fktr 砜
fkv 砝
fl 霏
fla 啡
flf 咐
flfj 跗
flh 呋
flhk 唪
flhr 趺
flk 吠
flr 吩
flrq 蹯
fm 防
fmf 附
fn 费
fn, 弗
fnt 艴
fo 富
foa 悱
foj 愤
fon 怫
fp 房
fpa 扉
fpah 诽
fpf 讣
fpfk 袱
fpk 祓
fpt 讽
fpy 访
fpz 福
fq 复
fq/ 繁
fqf 符
fqf; 筏
fqj 缶
fqjh 篚
fqn 氟
fqq 馥
fqr 氛
fqri 稃
fr 翻
fr. 乏
fre 斧
frg 番
frh 釜
frm 郛
frmz 孚
frp 忿
frr 父
fs 黻
fsj 黼
ft 风
ft. 凤
ft/ 犯
fta 鲱
fte 饭
ftf 鲋
ftg 负
ftj 鲼
ftn 狒
ftp 逢
ftq 鳆
ftr 孵
ftt 凫
ftv 凡
fty 鲂
ftz 匐
fu 扶
fuf 阀
fufj 拊
fuh 抚
fun 拂
fv 封
fvf 赴
fvy 坊
fvyr 坟
fw 阜
fwr 鼢
fx 枫
fxi 焚
fxj 榧
fxk 樊
fxr 桴
fxr, 棼
fxt 梵
fxy 枋
fy 方
fy, 废
fy/ 冯
fya 痱
fyf 府
fyg 腐
fym 邡
fyq 放
fyt 疯
fz 副
fza 匪
fzn 镄
fzt 锋
fztv 钒
fzy 钫
g 个
g, 姑
g,; 戤
g,d 尕
g,h 媾
g,i 妫
g,z 哿
g. 观
g.f 矜
g.h 癸
g.k 颈
g/ 给
g/f 纶
g/fn 缑
g/g 纲
g/gf 贯
g/j 绀
g/jn 绠
g/q 纥
g/s 绲
g/y 缟
g; 轨
g;b 轧
g;j 轱
g;r 戈
g;s 辊
gb 葛
gb, 菇
gbf 芥
gbj 苷
gbm 菰
gbn 茛
gbo 莞
gbt 苟
gbtp 鹳
gbx 藁
gc 沟
gcb 灌
gcf 淦
gcg 汩
gcj 港
gcja 泔
gcjl 沽
gcl 涡
gcn 溉
gcns 澉
gco 涫
gcy 滚
gd 归
gde 胍
gdf 胱
gdh 肝
gdj 肛
gdjz 臌
gdk 尜
gdk. 肱
gdt 股
gdtv 胳
gdz 膈
ge 瓜
gez 舸
gf 光
gf, 伽
gfj 供
gfjl 估
gfk 颌
gfl 合
gfo 倌
gfq 仡
gfs 刽
gft 鸽
gftl 佝
gfw 傀
gg 国
ggd 骨
ggf 蛤
ggg 贵
gggh 帼
gggh 蝈
gggh 蜾
gggj 崮
gggr 岗
gggs 蛊
ggh 果
ggj 固
ggjj 罡
ggjl 蛄
ggjl 罟
ggq 虼
ggr 冈
ggr. 蚣
ggs 刚
ggs 刿
ggt 购
ggtl 岣
ggtp 鹘
ggtv 骼
ggy 赅
ggyl 崞
gh 干
ghg 规
ghgt 觏
ghh 耕
ghj 珙
ghp 遘
ghw 瑰
gi 关
gig 盖
gii 糕
giih 羹
gin 炔
gio 羔
giz 馘
gj 过
gj, 功
gj; 丐
gja 甘
gjf 恭
gjg 革
gjgf 贡
gjgf 贾
gjgh 瞽
gjgr 汞
gjh 酐
gjhs 鞲
gji 耿
gjj 鼓
gjjl 酤
gjl 古
gjn 更
gjna 嘏
gjq 故
gjqb 乾
gjqr 攻
gjqx 聒
gjr 共
gjt 巩
gjt. 彀
gjt. 毂
gjtp 鸪
gjy 辜
gjz 工
gk 感
gkf 尬
gkh 矸
gkj 龚
gkk 顾
gks 尴
gkt 硌
gkv 硅
gky 磙
gl 跟
gl, 咖
glb 噶
gle 呱
glf 咣
glg 呙
glj 咕
glja 咁
gljn 哽
glk 嘎
gln 哏
gls 剐
glt 跪
gltv 咯
glz 嗝
gm 隔
gme 孤
gmy 陔
gn 改
gn; 艮
gnb 弓
gnq 敢
go 官
go. 怪
go/ 惯
gok 寡
gol 宫
gos 割
got 宄
gp 该
gpe 诟
gpf 雇
gph 冠
gpj 诂
gpq 诰
gpt 诡
gptv 袼
gpv 褂
gpvv 诖
gq 管
gqb 罐
gqf 搿
gqh 竿
gqhs 篝
gqhx 秆
gqj 缸
gqjl 牯
gqjn 筻
gql 告
gqm 郜
gqn 簋
gqq 牿
gqs 刮
gqsz 乖
gqt 鸹
gqtl 笱
gqtp 鹄
gqu 箍
gqy 稿
gqyl 篙
gr 公
gra 虢
grl 谷
gs 杲
gsh 旰
gsi 炅
gst 晷
gt 各
gt. 勾
gte 觚
gtf 觥
gtg 龟
gtgh 猓
gtgj 鲴
gtgs 鳏
gtj 鲠
gtk 鳜
gto 馆
gtp 逛
gts 旮
gtt 够
gtt. 鲧
gttl 狗
gtv 鲑
gty 犷
gu 搞
gu/ 掼
gug 掴
guj 拱
gujs 擀
gujz 扛
gul 拐
guq 括
gut 阁
guu 搁
guv 挂
guvv 闺
gv 赶
gve 垢
gvf 卦
gvj 埂
gvja 坩
gvl 埚
gvq 圪
gvv 圭
gvy 垓
gvz 塥
gw 鬼
gwe 皈
gwg 盥
gwk 皋
gwn 躬
gwv 睾
gx 根
gx; 柜
gxf 桧
gxfq 桄
gxh 杆
gxj 杠
gxja 柑
gxjn 梗
gxn 概
gxns 橄
gxo 棺
gxq 梏
gxqx 栝
gxs 棍
gxt 格
gxt. 构
gxtl 枸
gxv 桂
gxw 槔
gxy 槁
gxyl 椁
gy 高
gyc 广
gyd 膏
gyg 裹
gygf 赓
gygj 痼
gyj 疳
gyj. 庋
gym 郭
gyn 庚
gypo 戆
gyq 疙
gyr 衮
gyt 赣
gz 哥
gz; 匦
gzb 钆
gzg 钢
gzgi 鬲
gzgj 锢
gzgj 匮
gzj 钙
gzjl 钴
gzl 锅
gzq 锆
gzs 亘
gzt 歌
gzt. 钩
gztv 铬
gzy 镐
gzz 镉
h 和
h, 好
h,g 贺
h,t 婚
h. 欢
h/ 红
h/b 幻
h/e 绗
h/f 绘
h/ft 骅
h/g 缋
h/gs 缳
h/q 纥
h/r 缓
h/y 骇
h; 互
h;. 轰
h;r 轷
h;s 划
ha 虎
hav 壑
hb 花
hb, 薅
hb/ 荭
hb; 荤
hbc 菏
hbe 蘅
hbf 荷
hbfh 荟
hbfy 萑
hbg 茴
hbj 葫
hbjh 蕻
hbjn 蕙
hbk 薨
hbl 藿
hbm 菡
hbs 劐
hbt 获
hby 荒
hbyl 蒿
hc 活
hc. 汉
hc; 汇
hca 滹
hcf 淮
hcfh 浍
hcg 滑
hcgj 涸
hcgj 漶
hcgk 溷
hcgl 洄
hch 汗
hcj 洪
hcja 潢
hcjl 湖
hcjs 瀚
hcm 涵
hcn 泓
hco 浣
hcp 浑
hcpk 沪
hcpq 浒
hcq 海
hcqa 浩
hcs 混
hcsy 灏
hct 鸿
hctg 涣
hcw 湟
hcy 濠
hcyt 沆
hcz 河
hczs 洹
hd 胲
he 后
he/ 後
heg 徽
hegl 徊
heh 行
hen 很
hep 逅
het 衡
hew 徨
hey 航
hf 合
hfg 候
hfgf 货
hfgs 盒
hfh 会
hfi 伙
hfj 华
hfk 颌
hfkg 颔
hfl 含
hfn 侯
hfp 辉
hft 化
hfz 何
hg 回
hgb 蠖
hge 骺
hgf 蛤
hgg 蛔
hggs 圜
hgj 虹
hgja 蟥
hgja 蚶
hgjl 蝴
hgjl 岵
hgjn 蟪
hgjv 虾
hgk 贿
hgo 黑
hgp 患
hgq 蚝
hgs 幌
hgt 囫
hgti 夥
hgtp 鹘
hgw 蝗
hgy 骸
hgz 蚵
hh 环
hha 琥
hhe 珩
hhf 耠
hhj 璜
hhjl 瑚
hhk 顸
hhm 邗
hhn 彗
hhp 慧
hhp; 珲
hhq 耗
hhw 魂
hi 火
hif 烩
hifn 糇
hifp 焓
hij 糊
hija 烘
hijl 煳
hik 豢
hir 烀
his 焊
hit 焕
hiw 煌
hj 黄
hjd 胡
hjf 翰
hjg 鬟
hjh 韩
hjj 酣
hjjl 醐
hjk 卉
hjkl 醢
hjm 邯
hjn 巷
hjp 惠
hjs 壶
hjt 觳
hjtp 鹕
hk 还
hk, 夯
hke 瓠
hkg 虺
hki 灰
hkj 磺
hks 厚
hl 号
hl/ 喙
hla 唬
hlb 嗬
hlby 嚆
hlc 嗨
hlf 哈
hlfn 喉
hlft 哗
hlfy 霍
hlg 嘿
hlgd 哕
hlgh 踝
hlj 哄
hljv 吓
hlk 喊
hlki 咴
hll 嚯
hlm 吼
hlr 呼
hls 喝
hlt 唤
hlte 唿
hlw 嗥
hly 哼
hly, 咳
hlyl 嚎
hlyt 吭
hlz 呵
hm 孩
hmf 隳
hmm 函
hmw 隍
hn 弧
hn. 弘
hnp 憨
ho 宏
hob 慌
hof 恍
hog 寰
hoh 害
hoj 宦
hoja 黉
hojl 怙
hok 怀
hoki 恢
hokz 憾
hon 恨
hoo 寒
hop 逭
hoq 悔
hor 豁
hos 悍
hot 惚
hotg 鲎
how 惶
hoz 恒
hp 话
hpb 谎
hph 罕
hphm 讳
hpj 讧
hpjl 祜
hpk 户
hpki 诙
hpl 祸
hplm 扈
hpo 戽
hpp 诨
hpq 诲
hps 褐
hpt 鹤
hpz 诃
hqd 禾
hqf 篌
hqg 秽
hqj 簧
hqt 鹄
hqte 笏
hqw 篁
hqy 氦
hr 乎
hrt 貉
hs 晃
hsf 晗
hsh 旱
hshr 昊
hsk 颢
hsp 晖
hsq 晦
hst 曷
ht 忽
htb 獾
htbf 鹱
hte 狐
htf 猴
htg 猾
htgk 奂
hth 犴
htj 猢
htm 郇
htn 狠
hto 斛
